Date;Open;High;Low;Close;Volume;Ex-Dividend;Split Ratio;Adj. Open;Adj. High;Adj. Low;Adj. Close;Adj. Volume
2016-08-24;796.86;798.46;790.76;793.6;1284437.0;0.0;1.0;796.86;798.46;790.76;793.6;1284437.0
2016-08-25;792.0;794.72;787.23;791.3;1202680.0;0.0;1.0;792.0;794.72;787.23;791.3;1202680.0
2016-08-26;792.49;799.4;789.4069;793.22;1248881.0;0.0;1.0;792.49;799.4;789.4069;793.22;1248881.0
2016-08-29;793.05;798.52;790.32;795.82;773698.0;0.0;1.0;793.05;798.52;790.32;795.82;773698.0
2016-08-30;792.88;798.0;789.47;791.92;1167413.0;0.0;1.0;792.88;798.0;789.47;791.92;1167413.0
2016-08-31;789.6;791.57;787.2;789.85;1071420.0;0.0;1.0;789.6;791.57;787.2;789.85;1071420.0
2016-09-01;791.98;792.89;786.33;791.4;1303460.0;0.0;1.0;791.98;792.89;786.33;791.4;1303460.0
2016-09-02;795.27;797.1;793.26;796.87;1349896.0;0.0;1.0;795.27;797.1;793.26;796.87;1349896.0
2016-09-06;798.39;810.89;795.43;808.02;1989537.0;0.0;1.0;798.39;810.89;795.43;808.02;1989537.0
2016-09-07;807.93;810.6;803.72;807.99;1145724.0;0.0;1.0;807.93;810.6;803.72;807.99;1145724.0
2016-09-08;805.22;808.42;801.0101;802.84;1177660.0;0.0;1.0;805.22;808.42;801.0101;802.84;1177660.0
2016-09-09;798.77;801.75;788.05;788.48;1887633.0;0.0;1.0;798.77;801.75;788.05;788.48;1887633.0
2016-09-12;784.52;800.17;783.5;798.82;1863737.0;0.0;1.0;784.52;800.17;783.5;798.82;1863737.0
2016-09-13;794.01;795.79;784.33;788.72;1809044.0;0.0;1.0;794.01;795.79;784.33;788.72;1809044.0
2016-09-14;787.53;796.33;787.53;790.46;1313912.0;0.0;1.0;787.53;796.33;787.53;790.46;1313912.0
2016-09-15;790.01;803.645;788.66;801.23;1566360.0;0.0;1.0;790.01;803.645;788.66;801.23;1566360.0
2016-09-16;799.02;799.02;793.62;797.97;2130571.0;0.0;1.0;799.02;799.02;793.62;797.97;2130571.0
2016-09-19;801.11;803.99;793.56;795.39;1149522.0;0.0;1.0;801.11;803.99;793.56;795.39;1149522.0
2016-09-20;800.0;802.75;798.26;799.78;1050041.0;0.0;1.0;800.0;802.75;798.26;799.78;1050041.0
